room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
1252184,5297514,Entire home/apt,,Praha 1,124,5,3,1,1,99,,50.091676,14.423565
1258854,6855765,Entire home/apt,,Praha 1,36,5,4,1,1,52,3,50.09095,14.424433
1262661,4235754,Entire home/apt,,Praha 7,26,4.5,2,1,1,32,2,50.103785,14.452578
1263552,2840955,Entire home/apt,,Praha 5,21,4,5,2,1,52,,50.067005,14.407896
1269539,2361592,Entire home/apt,,Praha 1,120,5,3,1,1,45,1,50.09224,14.4282
1270993,2029497,Entire home/apt,,Praha 1,109,5,3,1,1,83,3,50.090749,14.419092
1272036,6770947,Entire home/apt,,Praha 2,2,4.5,4,1,1,70,1,50.066204,14.42006
1272215,6770947,Entire home/apt,,Praha 2,5,4.5,,2,1,103,2,50.068233,14.421008
1272315,6770947,Entire home/apt,,Praha 2,3,4,,2,1,115,1,50.067305,14.421107
1272915,6582025,Entire home/apt,,Praha 8,169,4.5,5,1,1,56,2,50.090163,14.445645
1274120,6234826,Entire home/apt,,Praha 5,4,5,4,1,1,68,3,50.066023,14.370437
1275196,6909360,Entire home/apt,,Praha 7,11,4.5,3,1,1,58,3,50.101468,14.422878
1276116,2840955,Entire home/apt,,Praha 5,1,5,5,1,1,93,2,50.066291,14.407473
1278259,6956315,Entire home/apt,,Praha 8,94,5,3,1,1,49,2,50.104982,14.477148
1282539,3955505,Entire home/apt,,Praha 2,13,4.5,2,1,1,55,2,50.067385,14.422332
1287418,3279605,Entire home/apt,,Praha 2,93,4.5,3,0,1,45,,50.069737,14.429669
1290736,7018357,Entire home/apt,,Praha 8,50,4.5,4,1,1,37,1,50.12373,14.474713
1291207,5297514,Entire home/apt,,Praha 1,156,5,2,1,1,104,,50.090093,14.422848
1296526,7049209,Entire home/apt,,Praha 1,70,5,,2,1,72,2,50.087272,14.406702
1299437,974253,Entire home/apt,,Praha 2,166,4.5,,2,,83,1,50.078141,14.439012
1303473,7083043,Entire home/apt,,Praha 2,21,4.5,,1,1,75,1,50.074795,14.437278
1304211,7089905,Private room,,Praha 1,14,4.5,3,1,1,40,2,50.082534,14.429486
1310879,6418394,Entire home/apt,,Praha 2,23,4.5,5,2,1,93,,50.077301,14.415452
1310891,1037514,Entire home/apt,,Praha 1,171,4.5,3,1,1,43,1,50.078707,14.42373
1314727,3313415,Private room,,Praha 1,26,4.5,4,1,,35,2,50.088964,14.435885
1317020,7154240,Entire home/apt,,Praha 3,125,4.5,3,1,1,22,2,50.079105,14.458903
1318360,7160691,Entire home/apt,,Praha 1,31,5,2,1,1,59,1,50.088272,14.4073
1318475,7160691,Entire home/apt,,Praha 1,20,5,3,1,1,70,1,50.088239,14.406424
1318549,7160691,Entire home/apt,,Praha 1,7,5,,3,1,139,1,50.087997,14.406113
1318665,7160691,Private room,,Praha 1,18,4.5,2,1,1,46,1,50.089271,14.40807
1319927,7160691,Private room,,Praha 1,4,4.5,3,1,1,59,1,50.089524,14.405927
1319988,7160691,Private room,,Praha 1,57,4.5,2,1,1,45,1,50.090158,14.407931
1320345,786483,Entire home/apt,,Praha 1,89,5,4,2,1,116,2,50.092696,14.427337
1327066,7202145,Entire home/apt,,Praha 7,38,5,5,1,1,59,2,50.100507,14.420765
1336005,770717,Private room,,Praha 1,88,4.5,2,1,1,39,1,50.083745,14.418752
